"year","carrier_name","arrivals","delayed","cancelled","diverted","car_delays","av_delay","av_car_delay","on_time","percent_car_delays"
2010,"SkyWest Airlines Inc.",499506,90860,9485,1376,19302.04,54.5302934468893,12.4030423256538,0.818100283079683,0.0386422585514488
2010,"Southwest Airlines Co.",1124487,217213,11597,2166,67567.93,45.8279788791781,12.8248851717888,0.806833693942215,0.0600877822509286
2010,"United Air Lines Inc.",343081,45154,5010,748,10477.58,58.0604106538956,14.5788722199954,0.868386765807492,0.0305396684747917
2011,"American Airlines Inc.",538179,103978,13527,2024,35335.76,56.1925985725426,20.6826574965831,0.806796623428265,0.0656580059794232
2011,"American Eagle Airlines Inc.",448178,87174,17658,1163,23452.38,55.8852494161157,17.2080593639858,0.805492460584857,0.05232827135647
2011,"Delta Air Lines Inc.",608131,101440,9649,1265,30046.34,53.5917220662175,18.5583702254391,0.833193834880971,0.0494076769643383
2011,"SkyWest Airlines Inc.",436276,79017,9860,1120,16936.86,54.3501373689593,12.3780054317583,0.818883000669301,0.0388214341380227
2011,"Southwest Airlines Co.",1155717,201394,12147,2272,57820.49,49.6925295043475,13.1934712291059,0.825741076751488,0.0500299727355399
2011,"United Air Lines Inc.",311212,56255,4880,594,13080.92,57.6313818955707,14.626834883365,0.819238975360847,0.0420321838489518
2012,"American Airlines Inc.",525220,109752,9569,1777,35588.89,56.508311768918,19.4405976609931,0.791036137237729,0.0677599672518183
2012,"American Eagle Airlines Inc.",473140,75466,10373,1192,20372.1,58.8254150092754,19.2165398700987,0.840499640698313,0.0430572346451367
2012,"Delta Air Lines Inc.",662973,84918,2458,1182,26169.14,54.9015918796271,21.5432352028468,0.871913335837206,0.0394724068702647
2012,"SkyWest Airlines Inc.",514086,86086,9785,1038,19678.83,54.6501491316187,13.226315328648,0.83254552740203,0.0382792567780488
2012,"Southwest Airlines Co.",1140535,180969,9580,1880,55767.88,48.3943415760019,14.348477032399,0.84132972683872,0.0488962460599631
2012,"United Air Lines Inc.",256564,45449,4108,423,15081.53,53.5569957230541,18.0761262198275,0.822855116072403,0.05878272088056
2013,"American Airlines Inc.",493626,97695,8780,1657,28377.57,56.6585568276609,17.6407047567361,0.802087005141544,0.0574879969855721
2013,"American Eagle Airlines Inc.",401154,96982,14807,921,21132.43,60.9574502787375,16.0109908025185,0.758242470472686,0.0526790958085922
2013,"Delta Air Lines Inc.",754670,113157,2435,1343,37631.64,57.0123735823273,23.9449664679717,0.850057641088158,0.0498650270979368
2013,"SkyWest Airlines Inc.",365702,68697,8722,934,15913.17,58.8539442068506,15.162775585897,0.81215033005015,0.0435140360183975
2013,"Southwest Airlines Co.",1130704,252944,8440,2101,74245.46,45.4317357501464,12.4593904500078,0.776295122330866,0.0656630382487371
2013,"United Air Lines Inc.",465141,92940,4694,1127,28908.78,58.4256568029655,17.4264561258482,0.800189619921701,0.062150573697008
2014,"American Airlines Inc.",492584,109463,8066,1841,31538.15,59.012532017264,18.5912076917147,0.777778003345622,0.0640259326328098
2014,"American Eagle Airlines Inc.",99989,25045,8358,264,5625.7,60.8016433449187,15.5007333642004,0.749522447469222,0.0562631889507846
2014,"Delta Air Lines Inc.",534120,86469,6226,1064,27727.49,58.2507827138036,21.9959438597649,0.838109413614918,0.0519124728525425
2014,"SkyWest Airlines Inc.",407827,86598,12658,1092,20810.11,58.6009496082442,16.2001618470046,0.787659963661062,0.0510268079357178
2014,"Southwest Airlines Co.",1174633,299133,15165,2731,90906.61,50.8011832098311,14.6823134626646,0.745339182536162,0.077391500153665
2014,"United Air Lines Inc.",413591,92244,6834,1060,30469.88,59.4035219697039,18.2213950477548,0.776968067486962,0.0736715257343608
2015,"American Airlines Inc.",725984,130279,10919,2130,42436.31,60.4751097121398,21.1835581905118,0.820548386741306,0.0584535058623881
2015,"Delta Air Lines Inc.",657424,92561,3280,1464,29895.77,61.8584694114499,23.1431857167478,0.859206539463117,0.0454741080337803
2015,"SkyWest Airlines Inc.",442571,77035,6759,1072,19824.51,59.0160407833248,19.0786504833673,0.825937533186766,0.0447939652620709
2015,"Southwest Airlines Co.",1261855,236626,16043,3409,74092.4,51.5682539852329,16.0846980165343,0.812477661854968,0.0587170475213079
2015,"United Air Lines Inc.",472120,95934,5932,1297,34798.17,64.7140345313408,21.2733735896917,0.796801660594764,0.0737061975768872
2016,"American Airlines Inc.",75580,12444,2720,124,4397.83,55.8878174220508,23.4854548376728,0.835353268060333,0.058187748081503
2016,"Delta Air Lines Inc.",69711,9234,974,88,2919.7,63.6791206411089,24.7470218756768,0.867538838920687,0.0418829166128731
2016,"SkyWest Airlines Inc.",47619,9499,984,194,2313.65,68.5815348984104,22.5426887040741,0.800520800520801,0.0485866985866986
2016,"Southwest Airlines Co.",104154,14103,2640,179,4505.13,46.5042189605049,15.3337587747288,0.864594734719742,0.0432545077481422
2016,"United Air Lines Inc.",39761,5571,1336,56,2064.86,61.5903787470831,22.1969125830192,0.859887829782953,0.0519317924599482
